French,AI_is_good
Coût d’obsolescence,0
Le pilotage des flux de charge ,0
Les stocks diminuent,0
Le rail,0
L’eau,0
Sous-traiter,1
Les augmentations de coût,1
Les prévisions,0
Le pilotage de l'atelier,0
Les délais,1
Les files d'attente,1
Une technique amont de prévision,1
Le délai d'approvisionnement des composants,1
La vérification des charges globales,0
Le pilotage de l'atelier,0
Les check-lists,1
Des vêtements,0
De l'essence ,0
Les coûts de possession,0
Sur stock mono-niveau,0
Le service après-vente,0
Continue,0
L'élargissement des tâches,1
Un programme d'intéressement,1
Les avantages sociaux donnés au personnel,1
Une production sur stock,0
Pourquoi faut-il assurer un suivi des prévisions ?,0
Minimiser les stocks,0
Minimiser les stocks,0
Un cas d'emploi,1
La réservation,0
La post-déduction ,1
Des réceptions attendues,0
Du coût de possession du stock,0
typologie en W,0
Un achat décentralisé,0
Calculer les besoins de stock,0
Rapport sur les ruptures,0
Vérification globale des charges,0
Aucune,0
Les stocks ne coûtent plus rien,0
L'allongement des délais,1
Rapport sur les ruptures,0
Vérification globale des charges,0
un besoin brut existe,0
Les en-cours servent à désynchroniser quels éléments ?,1
la production des fournisseurs,1
la vérification des charges globales,0
la gestion des capacités du centre de charge,0
"Planifier, Approvisionner, Fabriquer, Livrer, Retourner",0
faire de la résolution de problèmes,1
Les achats,1
"Le temps de changement de série, c’est : ",1
auto-organisées,0
à intervalles réguliers,0
faire de la résolution de problèmes,1
La chasse aux gaspillages ,0
Un état d'esprit,0
Accueillez toutes les idées,1
"Attaquez-vous aux processus, jamais aux personnes !",1
"Quoi, Quand, Qui",0
"Qu'est-ce, Qui, Quoi",1
Où,0
Oh,1
Oui ,0
OK,0
"QQOQC signifie Quoi, Quand, Où, Qui, Combien ou Comment. ",1
Marche pour fonctionnement,0
Matière première,1
Malfaçon ,1
bi-quotidien,0
Le suivi des actions en cours,0
Supprimer,0
Anomalie,0
Machine en panne,0
CCOCQP,0
Aucun,0
Aucun,0
Disponible prochainement,1
Aucun,0
Participez à l'amélioration de vos services.,1
Aucun,0
Aucun,0
Aucun,0
Aucun,0
Aucun,0
"Bienvenue dans le ""bac à sable"" :
ici, vous avez accès à toutes les fonctionnalités vues jusqu'à maintenant, sans limite de temps ni d'argent, n'hésitez donc pas à tester différentes configurations de votre ligne de production !.",1
L'ERP (informations sur les commandes client),0
"La trésorerie est à sec, sans argent difficile de rémunérer les employés pour leur travail !",1
"La trésorerie est à sec, sans argent difficile de rémunérer les employés pour leur travail !",1
"La trésorerie est à sec, sans argent difficile de rémunérer les employés pour leur travail !",1
Vous n'avez trouvé aucune ressource. Je suis sûr que vous n'avez pas donné votre maximum !,1
"Bienvenue dans le ""bac à sable"" :
ici, vous avez accès à toutes les fonctionnalités vues jusqu'à maintenant, sans limite de temps ni d'argent, n'hésitez donc pas à tester différentes configurations de votre ligne de production !.",1
"Bienvenue dans le ""bac à sable"" :
ici, vous avez accès à toutes les fonctionnalités vues jusqu'à maintenant, sans limite de temps ni d'argent, n'hésitez donc pas à tester différentes configurations de votre ligne de production !.",1
Terminer,1
Terminer,1
Terminer,1
Parcours pédagogique Boite à outil,0
{{BASE_SCHOOL_NAME}} : le manuel d'utilisation des propriétaires,1
Fiche outil - ABC/Fmr,0
Fiche outil - ABC/Fmr,0
Pour découvrir plus de modules !,1
Faux,0
Voir correction,0
(Plusieurs réponses possibles),0
Bloqué,0
Complété,1
Complété,1
À faire,1
Bloqué(s),0
Progression dans le parcours : [PROJECT_PROGRESS]%,0
Succès,0
Se débloque le,0
Bloqué,0
Encore un essai !,0
Déplacements,0
En-cours excessifs,0
Mouvement ,0
Non-qualité,0
En attente,0
Ré-essayer,0
Précédent,1
Quitter,0
Revoir,0
Réimplanter les postes,0
Voir la correction,0
Discuter,0
"VA
(Valeur Ajoutée)",0
Lots,0
TTC,1
HT,0
Correction,0
Val. de l'encours,0
Performance du processus,0
Valeur Ajoutée,0
Ambiance,0
indicateur,0
min,0
s,0
{[VALUE]}s,0
Analyse de la partie,0
Vis,1
Pince Coupante,1
Lunettes,0
Scotch,0
De temps en temps,0
Val. des encours,0
Commande,0
Réaffectation des logisticiens,0
Mise en place du FIFO,0
Mise en place du Kanban,0
Construction d'une VSM,0
Commandes,0
Récap des actions,0
Manche,0
Flux annexes,0
Recap des objectifs du défi,0
Ratio de tension de flux,0
(Injection commande),0
Historique,1
Poste d'emboutissage,0
RÉESSAYER,0
Passez à la suite maintenant !,1
"Enfin, cette usine souffre d’un gaspillage de Surproduction.",0
" Allez, plus que ",0
Cliquez ici.,0
 postes à placer !,0
 poste à placer !,0
Coût d'un recrutement,0
Collaborateurs,0
Organisation du service,0
Entrées,0
Sorties,0
Notion terminée,1
Diagnostic terminé,1
Attention !,0
Milieu,0
Matériel,0
Main d'oeuvre,0
Milieu,0
Matériel,0
Main d'oeuvre,0
Et donc ? ,1
"Non, aucun !",0
Tout à fait ! ,1
Cliquez ici.,0
Tout à fait oui. ,0
A votre disposition. ,0
Merci Nour !,1
Qui ?,0
Il semblerait que vous vous soyez trompé(e) dans la qualification de certaines tâches.,0
MADC,0
Douchette,0
En-cours en annexe,0
Temps de chgt de série,0
Tcy (gamme),0
Changer de série,0
Poste(s) assigné(s) :,0
En panne,0
Réimplantation,0
Postes,0
Postes,0
Poste ,0
Val. de l'encours,0
Val. stock de produits finis,0
Val. stock de composants,0
"LA PRODUCTION EST MISE EN PAUSE : 
Les employés vont dans la salle de réunion Kaizen pour analyser quel est le problème majeur de la chaîne de production. 

SPECIAL :
L’amélioration sélectionnée n’aura aucun temps de mise en place.",0
Nécéssite : ,0
Par poste,0
Carton d'emballage,0
Chassis,0
Sous ensemble,0
Commande conseillée,0
CARTOGRAPHIES,0
Réimplanter les postes,0
TOTAL : ,0
Possédé(s),0
Certifiants,0
Pré-requis :,0
Batteries,0
Moteur,0
Coque,0
Chgt de serie,0
Non qual.,0
TR,0
Tâches à réaliser,0
Améliorations,0
Aucune,0
Allumé,0
Comparatif,0
Externaliser,0
NVAE,0
Mouvement,0
Déplacement,0
Non qualité,0
En-cours,1
Graphique,0
Score,0
Voir,0
En cours,1
Complété!,0
Perseverant,0
Evaluation,0
Attentes[TRUE],0
Non Qualité[TRUE],0
Déplacements inutiles[TRUE],0
En U[TRUE],0
Attentes[TRUE],0
Déplacements[TRUE],0
En-cours excessifs[TRUE],0
Attentes[TRUE],0
Non Qualité[TRUE],0
Déplacements inutiles[TRUE],0
Elle dégringole[TRUE],0
Attentes[TRUE],0
Non Qualité (défauts)[TRUE],0
Déplacements inutiles[TRUE],0
Réimplanter les postes pour qu'il y ait moins de noeud de transport,0
Attentes[TRUE],0
Déplacements inutiles[TRUE],0
Y a-t-il des problèmes de sécurité dans cette usine ? ( (NB : laissez tourner l'usine une minute pour observer la sécurité en mode stabilisé),0
Attentes[TRUE],0
Non Qualité,0
Déplacements inutiles[TRUE],0
Quels problèmes observez-vous dans cette chaîne de production ?,0
Elle descend.[TRUE],0
bas,0
Attentes[TRUE],0
Non Qualité[TRUE],0
En désordre[TRUE],0
Vérification des compétences,0
Suivi OF,0
Contacter le client (P. Superf),0
L'affectation des logisticiens :,0
"La commande fournisseur vous permet de passer des commandes pour vos composants. 
Pour chaque composant vous pouvez trouver le temps que le fournisseur va mettre à vous le livrer, combien de pièces de ce composant sont nécessaires pour fabriquer un drone, son prix unitaire ainsi que le minimum de pièces que vous pouvez commander à chaque fois. 
De plus vous pouvez trouver des informations sur vos stocks actuels et suivant si vous avez du stock de sécurité de prévu, vous aurez une commande conseillée.",1
Commande fournisseur,1
Réessayer,0
Connexion,0
Se déconnecter,0
Assistance,0
"Réalisé par<a href=""http://xtralife.cloud/"" target=""_blank"">Xtralife</a>",0
CGU,0
Règlement intérieur,0
https://www.7-shapes.com/politique-utilisation-cookies/,0
https://www.7-shapes.com/politique-protection-donnees-personnelles/,0
Rester connecté,0
Mot de passe oublié,0
Des difficultés pour se connecter ?,0
Connexion,0
Créer mon compte,0
Mot de passe oublié,0
Connexion,0
Divers,0
Voir,0
Parcours,1
Début des licences,1
Détail de votre commande,0
Parcours :,1
Structure :,0
Début des licences :,1
Ancienne commande,0
Structure,0
Parcours,1
jour(s) restant(s),0
Utilisateurs avec une license,0
Retirer une licence,0
Réinitialiser la progression,0
Modifier,0
Administrateur,0
Dern. Connexion,0
Administrateur,0
En attente,0
Renvoyer,0
Modifier,0
Administrateur,0
Parcours,1
Défaite,1
Passé,0
Essais,0
Réussites,0
Parcours,1
Nom,0
Utilisateurs avec une license,0
Pédagogie,0
Technique,0
Minijeux,0
<h1>Nouvelle mise à jour</h1><p>Nous avons déployé une mise à jour ce jeudi 27 novembre. Les nouveautés concernent principalement la gestion des structures et des apprenants. Le nom de domaine a également été modifié et un système d'annonce a été ajouté !</p>,1
Règlement Intérieur,0
Mentions légales,1
[A COMPLETER],1
Téléphone,1
1h10.,0
1h.,0
Identification des causes,0
Analyse de déroulement,0
"Fiche de capacité de poste, standard",0
TPM et Maintenance autonome,0
"Cellule EAP, UAP",0
Groupe E - Lean Factory White Belt,0
