French,AI_is_good
Une production sur stock,0
Pourquoi faut-il assurer un suivi des prévisions ?,0
Minimiser les stocks,0
Minimiser les stocks,0
Un cas d'emploi,1
La réservation,0
La post-déduction ,1
Des réceptions attendues,0
Du coût de possession du stock,0
typologie en W,0
Un achat décentralisé,0
Calculer les besoins de stock,0
Rapport sur les ruptures,0
Vérification globale des charges,0
Aucune,0
Les stocks ne coûtent plus rien,0
L'allongement des délais,1
Rapport sur les ruptures,0
Vérification globale des charges,0
un besoin brut existe,0
Les en-cours servent à désynchroniser quels éléments ?,1
la production des fournisseurs,1
la vérification des charges globales,0
la gestion des capacités du centre de charge,0
"Planifier, Approvisionner, Fabriquer, Livrer, Retourner",0
faire de la résolution de problèmes,1
Les achats,1
"Le temps de changement de série, c’est : ",1
auto-organisées,0
à intervalles réguliers,0
faire de la résolution de problèmes,1
La chasse aux gaspillages ,0
Un état d'esprit,0
Accueillez toutes les idées,1
"Attaquez-vous aux processus, jamais aux personnes !",1
"Quoi, Quand, Qui",0
"Qu'est-ce, Qui, Quoi",1
Où,0
Oh,1
Oui ,0
OK,0
"QQOQC signifie Quoi, Quand, Où, Qui, Combien ou Comment. ",1
Marche pour fonctionnement,0
Matière première,1
Malfaçon ,1
bi-quotidien,0
Le suivi des actions en cours,0
Supprimer,0
Anomalie,0
Machine en panne,0
CCOCQP,0
Aucun,0
Aucun,0
Disponible prochainement,1
Aucun,0
Participez à l'amélioration de vos services.,1
Aucun,0
Aucun,0
Aucun,0
Aucun,0
Aucun,0
"Bienvenue dans le ""bac à sable"" :
ici, vous avez accès à toutes les fonctionnalités vues jusqu'à maintenant, sans limite de temps ni d'argent, n'hésitez donc pas à tester différentes configurations de votre ligne de production !.",1
L'ERP (informations sur les commandes client),0
"La trésorerie est à sec, sans argent difficile de rémunérer les employés pour leur travail !",1
"La trésorerie est à sec, sans argent difficile de rémunérer les employés pour leur travail !",1
"La trésorerie est à sec, sans argent difficile de rémunérer les employés pour leur travail !",1
Vous n'avez trouvé aucune ressource. Je suis sûr que vous n'avez pas donné votre maximum !,1
"Bienvenue dans le ""bac à sable"" :
ici, vous avez accès à toutes les fonctionnalités vues jusqu'à maintenant, sans limite de temps ni d'argent, n'hésitez donc pas à tester différentes configurations de votre ligne de production !.",1
"Bienvenue dans le ""bac à sable"" :
ici, vous avez accès à toutes les fonctionnalités vues jusqu'à maintenant, sans limite de temps ni d'argent, n'hésitez donc pas à tester différentes configurations de votre ligne de production !.",1
Terminer,1
Terminer,1
Terminer,1
Parcours pédagogique Boite à outil,0
{{BASE_SCHOOL_NAME}} : le manuel d'utilisation des propriétaires,1
Fiche outil - ABC/Fmr,0
Fiche outil - ABC/Fmr,0
Pour découvrir plus de modules !,1
Faux,0
Voir correction,0
(Plusieurs réponses possibles),0
Bloqué,0
Complété,1
Complété,1
À faire,1
Bloqué(s),0
Progression dans le parcours : [PROJECT_PROGRESS]%,0
Succès,0
Se débloque le,0
Bloqué,0
Encore un essai !,0
Déplacements,0
En-cours excessifs,0
Mouvement ,0
Non-qualité,0
En attente,0
Ré-essayer,0
Précédent,1
Quitter,0
Revoir,0
Réimplanter les postes,0
Voir la correction,0
Discuter,0
"VA
(Valeur Ajoutée)",0
Lots,0
TTC,1
HT,0
Correction,0
Val. de l'encours,0
Performance du processus,0
Valeur Ajoutée,0
Ambiance,0
indicateur,0
min,0
s,0
{[VALUE]}s,0
Analyse de la partie,0
Vis,1
Pince Coupante,1
Lunettes,0
Scotch,0
De temps en temps,0
Val. des encours,0
Commande,0
Réaffectation des logisticiens,0
Mise en place du FIFO,0
Mise en place du Kanban,0
Construction d'une VSM,0
Commandes,0
Récap des actions,0
Manche,0
Flux annexes,0
Recap des objectifs du défi,0
Ratio de tension de flux,0
(Injection commande),0
Historique,1
Poste d'emboutissage,0
RÉESSAYER,0
Passez à la suite maintenant !,1
"Enfin, cette usine souffre d’un gaspillage de Surproduction.",0
" Allez, plus que ",0
Cliquez ici.,0
 postes à placer !,0
 poste à placer !,0
Coût d'un recrutement,0
Collaborateurs,0
Organisation du service,0
Entrées,0
Sorties,0
Notion terminée,1
Diagnostic terminé,1
Attention !,0
Milieu,0
Matériel,0
Main d'oeuvre,0
Milieu,0
Matériel,0
Main d'oeuvre,0
Et donc ? ,1
"Non, aucun !",0
Tout à fait ! ,1
Cliquez ici.,0
Tout à fait oui. ,0
A votre disposition. ,0
Merci Nour !,1
Qui ?,0
Il semblerait que vous vous soyez trompé(e) dans la qualification de certaines tâches.,0
MADC,0
Douchette,0
En-cours en annexe,0
Temps de chgt de série,0
Tcy (gamme),0
Changer de série,0
Poste(s) assigné(s) :,0
En panne,0
Réimplantation,0
Postes,0
Postes,0
Poste ,0
Val. de l'encours,0
Val. stock de produits finis,0
Val. stock de composants,0
"LA PRODUCTION EST MISE EN PAUSE :
Les employés vont dans la salle de réunion Kaizen pour analyser quel est le problème majeur de la chaîne de production.

SPECIAL :
L’amélioration sélectionnée n’aura aucun temps de mise en place.",0
Nécéssite : ,0
Par poste,0
Carton d'emballage,0
Chassis,0
Sous ensemble,0
Commande conseillée,0
CARTOGRAPHIES,0
Réimplanter les postes,0
TOTAL : ,0
Possédé(s),0
Certifiants,0
Pré-requis :,0
Batteries,0
Moteur,0
Coque,0
Chgt de serie,0
Non qual.,0
TR,0
Tâches à réaliser,0
Améliorations,0
Aucune,0
Allumé,0
Comparatif,0
Externaliser,0
NVAE,0
Mouvement,0
Déplacement,0
Non qualité,0
En-cours,1
Graphique,0
Score,0
Voir,0
En cours,1
Complété!,0
Perseverant,0
Evaluation,0
Attentes[TRUE],0
Non Qualité[TRUE],0
Déplacements inutiles[TRUE],0
En U[TRUE],0
Attentes[TRUE],0
Déplacements[TRUE],0
En-cours excessifs[TRUE],0
Attentes[TRUE],0
Non Qualité[TRUE],0
Déplacements inutiles[TRUE],0
Elle dégringole[TRUE],0
Attentes[TRUE],0
Non Qualité (défauts)[TRUE],0
Déplacements inutiles[TRUE],0
Réimplanter les postes pour qu'il y ait moins de noeud de transport,0
Attentes[TRUE],0
Déplacements inutiles[TRUE],0
Y a-t-il des problèmes de sécurité dans cette usine ? ( (NB : laissez tourner l'usine une minute pour observer la sécurité en mode stabilisé),0
Attentes[TRUE],0
Non Qualité,0
Déplacements inutiles[TRUE],0
Quels problèmes observez-vous dans cette chaîne de production ?,0
Elle descend.[TRUE],0
bas,0
Attentes[TRUE],0
Non Qualité[TRUE],0
En désordre[TRUE],0
Vérification des compétences,0
Suivi OF,0
Contacter le client (P. Superf),0
L'affectation des logisticiens :,0
"La commande fournisseur vous permet de passer des commandes pour vos composants.
Pour chaque composant vous pouvez trouver le temps que le fournisseur va mettre à vous le livrer, combien de pièces de ce composant sont nécessaires pour fabriquer un drone, son prix unitaire ainsi que le minimum de pièces que vous pouvez commander à chaque fois.
De plus vous pouvez trouver des informations sur vos stocks actuels et suivant si vous avez du stock de sécurité de prévu, vous aurez une commande conseillée.",1
Commande fournisseur,1
Réessayer,0
Connexion,0
Se déconnecter,0
Assistance,0
"Réalisé par<a href=""http://xtralife.cloud/"" target=""_blank"">Xtralife</a>",0
CGU,0
Règlement intérieur,0
https://www.7-shapes.com/politique-utilisation-cookies/,0
https://www.7-shapes.com/politique-protection-donnees-personnelles/,0
Rester connecté,0
Mot de passe oublié,0
Des difficultés pour se connecter ?,0
Connexion,0
Créer mon compte,0
Mot de passe oublié,0
Connexion,0
Divers,0
Voir,0
Parcours,1
Début des licences,1
Détail de votre commande,0
Parcours :,1
Structure :,0
Début des licences :,1
Ancienne commande,0
Structure,0
Parcours,1
jour(s) restant(s),0
Utilisateurs avec une license,0
Retirer une licence,0
Réinitialiser la progression,0
Modifier,0
Administrateur,0
Dern. Connexion,0
Administrateur,0
En attente,0
Renvoyer,0
Modifier,0
Administrateur,0
Parcours,1
Défaite,1
Passé,0
Essais,0
Réussites,0
Parcours,1
Nom,0
Utilisateurs avec une license,0
Pédagogie,0
Technique,0
Minijeux,0
<h1>Nouvelle mise à jour</h1><p>Nous avons déployé une mise à jour ce jeudi 27 novembre. Les nouveautés concernent principalement la gestion des structures et des apprenants. Le nom de domaine a également été modifié et un système d'annonce a été ajouté !</p>,1
Règlement Intérieur,0
Mentions légales,1
[A COMPLETER],1
Téléphone,1
1h10.,0
1h.,0
Identification des causes,0
Analyse de déroulement,0
"Fiche de capacité de poste, standard",0
TPM et Maintenance autonome,0
"Cellule EAP, UAP",0
Groupe E - Lean Factory White Belt,0
25 000 000€,0
33%,1
env 55%,1
"0,9166 et 0,909",1
"0,95 et 0,77",1
"0,95 et 0,84",1
"0,84 et 0,77",1
Mon taux de qualité est de 96%,1
Mon taux de défaut est de 4%,1
Main information flow analysis,1
Material and Information Flow Analysis,1
My Information For Analysis,1
Mean Instruction Flow Analysis,1
env 50%,1
Le passage de l'expert et le remboursement (ou non) au client,1
Améliorer par activité en utilisant un affichage Kanban,1
Cette alerte n'est pas indispensable,1
Le chef du magasin est le seul juge de ce type de décision,1
J'organise une réunion entre les deux services,1
J'organise une analyse du processus de prise en compte des bugs,1
Je regarde les logiciels de gestion de commande externes,1
Je demande au service informatique d'accélérer,1
Seule une analyse structurée (via un Yamazumi ou un logigramme) du processus de prise en compte et de résolution des bugs permettra de résoudre les problèmes.,1
J'organise un chantier VOC (Voice of Customer),1
Mettre en place un FIFO,1
Mettre en place un Kanban,1
La NVA de l'atelier,1
La NVA dans la relation avec le client,1
Le client,1
"Le service commercial semble au centre de tout et interagit beaucoup, à la fois avec le client et avec les services internes. Son processus semble ralentir le reste. C'est donc sur ce service et ses interactions avec l'extérieur que je vais concentrer mon attention.",1
C'est moins compliqué,1
Cela prend moins de temps,1
Cela permet de trouver des solutions sur le champ,1
Une VSM actuelle ne sert pas à trouver des solutions. Et personne n'est mieux placé que ceux qui sont concernés par le processus pour le décrire.,1
Augmenter les ressources sur tous les postes de travail en relation avec les clients,1
Somme des temps de VA / Somme des temps de NVA,1
Combiner (deux opérations ou plus),1
Modifier le Takt Time,1
Supprimer (une ou plusieurs opérations),1
La durée d'ouverture,1
Un rond,1
Un carré,1
Un rectangle,1
Un triangle (pointe en bas),1
La VSM,1
Le FIFO,1
Avoir une quantité de composants suffisante par kit,1
Avoir un nombre de kits en quantité suffisante,1
Avoir les bonnes références de composants dans chaque kit,1
Avoir des kits en stock en quantité supérieure au besoin quotidien,1
Le Kitting consiste à livrer un ensemble de pièces bien défini à un poste afin d'éviter l'arrivée désordonnée de ces différentes pièces. ,1
Non qualité,1
Le Kitting consiste à livrer un ensemble de pièces bien défini à un poste afin d'éviter l'arrivée désordonnée de ces différentes pièces. ,1
La même chose que le kitting,1
Un outil pour supprimer les gaspillages,1
La consommation du composant se situe entre 60% et 10% des cas,1
La consommation du composant est inférieure à 10 %,1
Les pièces sont volumineuses,1
Il n'y a pas de cas prédéfinis,1
Le système de Kit consiste (dans la majorité de cas) à livrer les pièces les moins consommées. Les pièces les plus consommées seront elles livrées via un milkman classique,1
Calculer la charge de l'opérateur,1
"Un simogramme est une représentation graphique de l'organisation des différentes tâches d'un cycle de fabrication par rapport à l'axe (horizontal) du temps. Il permet de visualiser si ces tâches sont successives ou simultanées et si elles requièrent des ressources humaines ou matérielles. Il permet d'optimiser le cycle, de déterminer la cadence nominale et différents taux d'occupation théoriques.",1
Dissocier le travail de l'opérateur et de la machine,1
Optimiser le cycle de fabrication,1
Déterminer la cadence nominale,1
Le Heijunka,1
Le Andon,1
Le Jidoka,1
Oui mais à condition que l'opérateur ne puisse passer à la tâche suivante que si la précédente a été validée par le logiciel via des codes barre par exemple,1
Oui mais à condition que l'opérateur ne puisse passer à la tâche suivante que si il a validé lui-même la tâche précédente ,1
L'inspection à 100%,1
Le Poka Yoke,1
"Un poka yoke ou détrompeur est un dispositif, généralement mécanique, permettant d'éviter les erreurs d'assemblage, de montage ou de branchement.",1
Arrêt qui empêche de commettre une erreur,1
Système qui empêche de passer à la tâche suivante tant que la précédente n'est pas validée,1
Mettre en place un contrôle à 100 %,1
Mettre en place une carte de contrôle,1
Mettre en place un Poka Yoke,1
A alerter sur la présence d'anomalies,1
A empêcher tout défaut,1
A empêcher toute panne,1
A tester le bon fonctionnement d'un processus,1
Il réduit les défauts,1
Il arrête automatiquement la ligne en cas de défaut,1
C'est le Jidoka qui prone l'arrêt de la ligne en cas de défaut. Il s'agit d'arrêter la production plutôt que de risquer produire de mauvaises pièces.,1
A arrêter la production en cas de mauvaises pièces,1
A signaler les problèmes de production,1
A signaler les pannes machines,1
Il doit être simple,1
Un système Andon est à base de signaux lumineux,1
Un système Andon d'avance/retard est affiché en vert/rouge,1
Un système Andon se déclenche dès la détection d'un problème,1
Un système Andon ne peut être déclenché qu'automatiquement,1
De la surproduction,1
Un défaut,1
Un changement d'opérateur requis,1
Une panne,1
"L'Analyse des modes de défaillance, de leurs effets et de leur criticité (AMDEC) est un outil de sûreté de fonctionnement (SdF) et de gestion de la qualité.
La criticité d'un mode de défaillance se détermine généralement par le produit (indice de fréquence) × (indice de gravité) × (indice de détection). Ces indices sont définis par le client, l'entreprise qui fixe également un seuil d'acceptabilité, au-dessus duquel toute criticité doit être réduite, par un moyen à définir (reprise de conception, plan de maintenance, action de surveillance…).",1
Indice de fréquence,1
Indice de gravité,1
Indice de détection,1
Indice de sécurité,1
La criticité d'un mode de défaillance se détermine généralement par le RPN (Risk Priority Number) qui est le produit (indice de fréquence) × (indice de gravité) × (indice de détection).,1
Risk Priority Number,1
Risk Potential Number,1
Ratio Priority Number,1
Rotation Priority Number,1
Le RPN (Risk Priority Number) est le produit (indice de fréquence) × (indice de gravité) × (indice de détection). Le RPN actuel est à comparer avec le RPN cible après mise en place des mesures de prévention. Cet indicateur est l'élément clef d'une Analyse des Modes de Défaillance (AMDEC),1
"Dans un DMAIC, dans la phase A et I, un AMDEC peut servir à détecter des points faibles par rapport aux attentes client. ",1
Savoir faire un 5S,1
Mettre en place la maintenance autonome,1
Contrôler les modes de défaillance,1
Le temps moyen de réparation y compris le temps d'intervention,1
Temps de recherche,1
Déplacements inutiles,1
Supprimer les fichiers et applications inactifs,1
Ranger les fichiers dans des dossiers de manière logique,1
Se désabonner des newsletters qu'on ne lit jamais,1
Supprimer les mails inutiles,1
Créer des filtres dans son outil de mailing,1
Ranger les fichiers dans des dossiers de manière logique,1
Se désabonner des newsletters qu'on ne lit jamais,1
Donner accès aux personnes autorisées aux fichiers rangés,1
Le 4ème S est Standardiser,1
Laquelle de ces affirmations est vraie ?,1
"Lorsqu'on fait un ""5 Pourquoi"", que faut-il éviter ou ne PAS faire ?",1
Chercher un responsable de la cause ,1
"Dans un ""5 Pourquoi"", quelle est la règle principale à respecter ? ",1
Une entreprise décide d'obtenir un label ISO au niveau de sa sécurité. Comment qualifier cette activité ? ,1
"Votre entreprise a pris une assurance ""Marchandises transportées"". Comment qualifiriez-vous cette dépense ? ",1
VA Business ,1
NVA Business ,1
Le travail d'un des opérateurs de l'usine consiste à faire des tests aléatoires sur la qualité des produits finis. Comment qualifiez-vous cette activité ? ,1
Vous travaillez pour un Fournisseur. Comment classez vous l'activité de transport des marchandises à vos clients ? ,1
"Les clients sont prêts à payer pour le transport des marchandises, c'est de la VA. ",1
Qu'est-ce qu'un Mura ? ,1
"Quel est le 8ème gaspillage, souvent le plus important ? ",1
Les MURA correspondent à la suractivité des employés. ,1
La variabilité est-elle un des 7 gaspillages du Lean ? ,1
"Parmi les opérations suivantes, laquelle n'est pas un MUDA ? ",1
"Laquelle de ces propositions est une ""Non-Valeur Ajoutée Nécessaire"" ? ",1
"Conserver un ""niveau de stock mini"" pour le stock de produits finis",1
Quels éléments faut-il faire figurer sur un Spaghetti Flux ? ,1
"Le Spaghetti flux est un outil de cartographie, de même que ...  ",1
Le Kanban n'est pas un outil de cartographie mais un outil de management visuel. ,1
Un diagramme spaghetti est utile pour...,1
Diminuer les accidents,1
Ré-implanter un service/une ligne,1
"Calculez le taux de service :
- nombre de commandes livrées en retard : 12
- nombre de commandes livrées à l'heure : 24",1
Taux de service = 24/(24+12)= 66%,0
"Les taux de service réalisés, négociés, souhaités se discutent dans cet ordre chronologique, avec les fournisseurs ou les clients.  ",1
Quels facteurs impactent le calcul du TRS ? ,1
"TRS = temps de production réel / temps de production maximum théorique. Il prend donc en compte la disponibilité de la machine et des opérateurs, et la performance du process. La taille de lot ne rentre pas directement en compte dans le calcul du TRS. ",1
Quel est le TRS de cette machine ? ,1
Do 97% ;  Tp 96% ;  Tq 98% ;  TRS 91%,1
Mon TRS est de 96%,1
Mon TRG est de 80%,1
"Dans une compagnie d'assurance, le temps de traversée (ou lead time) d'une demande de prise en charge d'un sinistre se définit comme le temps entre : ",1
La réception d'une demande de prise en charge et le passage de l'expert chez le client,1
L'entrée dans la file d'attente de la demande de prise en charge et la clôture du dossier client (via un remboursement par exemple),1
"Le leadtime ou temps de traversée se définit comme étant le temps de traversée d'une chaine de valeur ou d'un
processus. Ici, le processus est la prise en charge pour un sinistre. Le lead time du processus devra aller de l'entrée de cette prise en charge dans la file d'attente jusqu'à sa sortie et donc jusqu'à la clôture du dossier client. ",1
Améliorer les activités service par service,1
Améliorer les activités tous services confondus,1
Améliorer le flux par activité ,1
"Dans un magasin de grande distribution, comment faire pour alerter que l'ouverture d'une caisse supplémentaire est nécessaire? ",1
"On met une trace au sol alertant du nombre de clients nécessitant 1, 2 ou 3 caisses",1
Le choix de la famille de produits à cartographier est la 1ère étape d'une VSM. ,1
L'équipe Gestion des commandes se plaint de la lenteur de la résolution des bugs du logiciel de commandes maison. Que faire ? ,1
"Dans une VSM, quelles sont les informations utiles pour calculer le temps de traversée ? ",1
J'ai un problème de durée de traitement de mes retours clients. Que dois-je faire ? ,1
J'organise un chantier VSM,1
J'embauche une personne supplémentaire au service client,0
J'organise un chantier Résolution de problèmes ,0
Quelle(s) action(s) peuvent être mise(s) en place pour MAITRISER ou limiter les en-cours ? ,1
Mettre en place un 5S,1
Mettre en place un petit train,1
"En observant l’image suivante, sur quoi dois-je d’abord me concentrer concernant ma VSM actuelle ?",1
La NVA expédition,1
La NVA du processus de facturation,1
Ajouter un opérateur sur le poste goulot,1
"En observant l’image suivante, sur quoi dois-je d’abord me concentrer concernant ma VSM actuelle ?",1
Le poste goulot,1
Le service commercial,0
Quelle est la principale raison pour laquelle il est nécessaire de réaliser la VSM en équipe ? ,1
"Dans une VSM ""état futur ou cible"", quelle action de type ""Lean"" peut-on retenir ?",1
Faire un bilan de projet qui démontre que les objectifs fixés ont été atteints ,1
L'efficience de cycle est égale à : ,1
Somme des temps de NVA / Somme des temps de cycle,1
Somme des temps de VA / Temps de traversée total,1
"J'étudie le fonctionnement d'une étape de recouvrement client. Mon processus débute lors de l'émission de la facture et se termine lors de la réception des fonds en banque. Il comporte trois étapes de 20 minutes de VA chacunes et de 3 heures de NVA, dont une heure de NVA obligatoire règlementaire. Un ""batch informatique"" tourne durant la nuit (calcul et envoi). Les bureaux sont ouverts 8 h par jour. Quel est le Temps de Traversée de mon processus ?",1
620 minutes ,1
"Le batch étant la dernière étape de mon processus (et donc l'étape la plus longue), la validation (ou non) du recouvrement ne pourra être validée qu'au bout de 8h (reception des fonds) soit 8*60' = 480min",1
L'amélioration de la qualité d'un produit ou service n'a pas d'impact sur l'efficience de cycle ? ,1
"Pour un processus manufacturé, nous avons établi une VSM. Pour un takt time de 24mn, les données du terrain sont les suivantes (Cf. tableau).
Pour chaque étape, l'encours comprend les pièces en attente et la pièce en cours de fabrication.
Quelle est l'efficience du processus ?",1
Quelle est l'efficience du cycle de ce processus de bon d'expédition ?,1
"Efficience de cycle = Temps à VA / Temps de traversée = 25+10/(25+10+10+10+15) = 0,5.
Seuls le temps de saisie et d'expédition sont du temps à VA. ",1
La standardisation du travail dans un service NE permet PAS : ,1
Le fait de standardiser le travail (en production ou dans un service) permet de répéter une performance mais aussi d'augmenter la polyvalence des employés,1
Quelles opérations découlent d'une Analyse de Déroulement (AD) ? ,1
Permuter (deux opérations),1
Quels sont les paramètres que l'Analyse de Déroulement permet d'améliorer ? ,1
L'analyse de déroulement (AD) est une analyse chronologique de processus visant à identifier de manière exhaustive les différentes étapes de réalisation du processus et à les classer en VA et en NVA.,1
"Parmi ces symboles d'analyse de poste de travail dans le cadre d'une analyse de déroulement, lequel représente un contrôle ? ",1
"Le carré représente le contrôle. Le rond = l'opération (VA), le rectangle n'existe pas et le triangle est un stockage. ",1
Le Spaghetti Flux,1
Le logigramme,1
"L'analyse de déroulement également appelé logigramme est, avec le Yamazumi, l'outil roi de l'analyse des flux office qui sont souvent complexes et multiples. La VSM est l'outil idéal pour l'analyse d'un flux global d'entreprise.  ",1
Quelle est la capacité hebdomadaire réelle du poste de travail suivant ?,1
Quel gaspillage est généralement diminué grâce au Kitting ? ,1
Qu'est-ce que le Full Kitting ? ,1
Tcy = Tm + Tt + Ttm,1
Tcy = Tm + Tt,1
Tcy = Tt + Ttm,1
Utm = (Tm+Tt)/Tcy,1
Utm = (Tm+Ttm)/Tcy,1
Utm = (Tm+Ttmasqué)/Tcy,1
Utm = (Tm+Ttm+Tmasqué)/Tcy,1
UTt = (Tt+Tmasqué) / TCy,1
UTt = (Tt+Ttm+Tmasqué) / TCy,1
UTt = (Tt+Ttm) / TCy,1
Il sollicite le jugement humain ,1
Il fiabilise la production ,1
En quoi consiste le Jidoka ? ,1
A produire en juste-à-temps ,1
Le Jidoka consiste à arrêter une ligne en cas de détection de défaut ou de panne machine. Il s'agit d'arrêter la production plutôt que de risquer produire de mauvaises pièces.,1
Quelles phrases caractérisent l'Andon ? ,1
Il doit être visible ou audible ,1
Il doit être compréhensible ,1
L'Andon doit être visible ou audible par tous et simple à comprendre. ,1
Quelles affirmations sont correctes ? ,1
"Parmi les situations suivantes, lesquelles sont détectées par un Andon ? ",1
Améliorer la qualité du service,1
Mettre en évidence les risques d'un service,1
Visualiser les gaspillages d'un service,1
Visualiser la criticité de la défaillance d'un service,1
Que signifie l'acronyme RPN ? ,1
RPN = 112 ; pas d'action,1
RPN = 112 ; réduction jusqu'à RPN = 100,1
RPN = 112 et criticité « intolérable » ; action pour passer en criticité « tolérable »,1
RPN = 112 et criticité « indésirable » ; pas d'action,1
RPN ici = 8 x 7 x 2 = 112. L'objectif dans un AMDEC étant de diminuer au maximum le RPN,1
L'AMDEC conduit à la mise en place d'un RPN cible ,1
L'AMDEC conduit à une maintenance préventive,1
L'AMDEC permet d'anticiper les risques liés aux ruptures de matière ou d'informations,1
L'AMDEC permet d'identifier les risques potentiels conduisant à des produits/services non conformes ,1
L'AMDEC peut servir à détecter des points faibles dans un processus. ,1
Le premier pilier de la TPM est  : ,1
Réaliser les standards de maintenance,1
Le premier pillier de la TPM est de former les agents à la maintenance en autonomie de leurs machines (maintenance autonome). ,1
Le MTTR mesure : ,1
Le MTBF mesure :,1
MTTR = Temps d'arrêt moyen / Nombre d'arrêts,1
"MTTR = Somme des Temps d'arrêt /
Nombre d'arrêts",1
"Parmi les bénéfices suivants, lesquels sont liés à la Maintenance autonome ? ",1
